PID,TID,Source,Destination,Size_MB,Latency_us,Bandwidth_GBps,Start_ns,End_ns,WallStart_ns,WallEnd_ns
1961790,1973354,Host(NUMA 6),Device ?,12.00,617.51,20.38,11246790623550470,11246790624167980,1781444304198774900,1781444304199392410
1961790,1973354,Host(NUMA 6),Device ?,4.00,314.78,13.32,11246790624209900,11246790624524680,1781444304199254500,1781444304199569280
1962011,1974998,Host(NUMA 5),Device ?,12.00,735.35,17.11,11246790623665690,11246790624401040,1781444304199115030,1781444304199850380
1962011,1974998,Host(NUMA 5),Device ?,4.00,251.45,16.68,11246790624443950,11246790624695400,1781444304199771580,1781444304200023030
1961865,1973184,Host(NUMA 7),Device ?,16.00,1010.88,16.60,11246790623612840,11246790624623720,1781444304199173870,1781444304200184750
1961865,1973184,Host(NUMA 7),Device ?,12.00,772.02,16.30,11246790624667390,11246790625439410,1781444304199740710,1781444304200512730
1961790,1973354,Host(NUMA 6),Device ?,16.00,992.35,16.91,11246790624565810,11246790625558160,1781444304199812560,1781444304200804910
1962011,1974998,Host(NUMA 5),Device ?,16.00,1121.58,14.96,11246790624735020,11246790625856600,1781444304199963410,1781444304201084990
1961865,1973184,Host(NUMA 7),Device ?,4.00,328.97,12.75,11246790625482440,11246790625811410,1781444304200931370,1781444304201260340
1961790,1973354,Host(NUMA 6),Device ?,16.00,982.93,17.07,11246790625604370,11246790626587300,1781444304200687710,1781444304201670640
1962011,1974998,Host(NUMA 5),Device ?,16.00,866.69,19.36,11246790625900180,11246790626766870,1781444304201099260,1781444304201965950
1961865,1973184,Host(NUMA 7),Device ?,16.00,979.25,17.13,11246790625851050,11246790626830300,1781444304201159560,1781444304202138810
1961790,1973354,Host(NUMA 6),Device ?,12.00,719.05,17.50,11246790626636320,11246790627355370,1781444304201700060,1781444304202419110
1962011,1974998,Host(NUMA 5),Device ?,12.00,613.71,20.50,11246790626810610,11246790627424320,1781444304202088950,1781444304202702660
1962011,1974998,Host(NUMA 5),Device ?,4.00,280.53,14.95,11246790627465900,11246790627746430,1781444304202599210,1781444304202879740
1961790,1973354,Host(NUMA 6),Device ?,4.00,343.30,12.22,11246790627398520,11246790627741820,1781444304202828890,1781444304203172190
1961865,1973184,Host(NUMA 7),Device ?,16.00,916.75,18.30,11246790626874770,11246790627791520,1781444304202427800,1781444304203344550
1962011,1974998,Host(NUMA 5),Device ?,16.00,766.21,21.90,11246790627784350,11246790628550560,1781444304202857130,1781444304203623340
1961865,1973184,Host(NUMA 7),Device ?,12.00,747.46,16.83,11246790627834420,11246790628581880,1781444304203063970,1781444304203811430
1961865,1973184,Host(NUMA 7),Device ?,4.00,274.00,15.31,11246790628621420,11246790628895420,1781444304203700980,1781444304203974980
1962011,1974998,Host(NUMA 5),Device ?,16.00,761.27,22.04,11246790628594730,11246790629356000,1781444304203675080,1781444304204436350
