WindowStart_ns,WindowEnd_ns,Source,Destination,Bytes_MB,Bandwidth_GBps,WindowStartWall_ns,WindowEndWall_ns,Duration_ms,Packet_Count
11246790617831610,11246790618414700,Host(NUMA 5),Device ?,12.00,21.58,1781444304193022730,1781444304193605820,0.583,1
11246790617405120,11246790617759060,Host(NUMA 6),Device ?,4.00,11.85,1781444304192676280,1781444304193030220,0.354,1
11246790617254080,11246790618285400,Host(NUMA 7),Device ?,16.00,16.27,1781444304192292710,1781444304193324030,1.031,1
11246790618338200,11246790618996150,Host(NUMA 7),Device ?,12.00,19.12,1781444304193566600,1781444304194224550,0.658,1
11246790618453330,11246790618718650,Host(NUMA 5),Device ?,4.00,15.81,1781444304193510220,1781444304193775540,0.265,1
11246790617798800,11246790618755180,Host(NUMA 6),Device ?,16.00,17.54,1781444304193098890,1781444304194055270,0.956,1
11246790619036820,11246790619388170,Host(NUMA 7),Device ?,4.00,11.94,1781444304194155770,1781444304194507120,0.351,1
11246790618754810,11246790619682170,Host(NUMA 5),Device ?,16.00,18.09,1781444304193864610,1781444304194791970,0.927,1
11246790618800660,11246790619772910,Host(NUMA 6),Device ?,16.00,17.26,1781444304194117190,1781444304195089440,0.972,1
11246790619818600,11246790620463130,Host(NUMA 6),Device ?,12.00,19.52,1781444304195307260,1781444304195951790,0.645,1
11246790619725560,11246790620696630,Host(NUMA 5),Device ?,16.00,17.28,1781444304194806030,1781444304195777100,0.971,1
11246790619426960,11246790620416160,Host(NUMA 7),Device ?,16.00,16.96,1781444304194501130,1781444304195490330,0.989,1
11246790620739560,11246790621311200,Host(NUMA 5),Device ?,12.00,22.01,1781444304195814710,1781444304196386350,0.572,1
11246790620461160,11246790621514300,Host(NUMA 7),Device ?,16.00,15.93,1781444304195619390,1781444304196672530,1.053,1
11246790620505650,11246790620851040,Host(NUMA 6),Device ?,4.00,12.14,1781444304195765560,1781444304196110950,0.345,1
11246790621351360,11246790621654010,Host(NUMA 5),Device ?,4.00,13.86,1781444304196649500,1781444304196952150,0.303,1
11246790621558480,11246790622210850,Host(NUMA 7),Device ?,12.00,19.29,1781444304196631700,1781444304197284070,0.652,1
11246790620890860,11246790622378320,Host(NUMA 6),Device ?,16.00,11.28,1781444304196086880,1781444304197574340,1.487,1
11246790621694710,11246790622630070,Host(NUMA 5),Device ?,16.00,17.94,1781444304196921570,1781444304197856930,0.935,1
11246790622253400,11246790622566940,Host(NUMA 7),Device ?,4.00,13.38,1781444304197719470,1781444304198033010,0.314,1
11246790622425030,11246790623501730,Host(NUMA 6),Device ?,16.00,15.58,1781444304197505200,1781444304198581900,1.077,1
11246790623550470,11246790624167980,Host(NUMA 6),Device ?,12.00,20.38,1781444304198774900,1781444304199392410,0.618,1
11246790622674880,11246790623623030,Host(NUMA 5),Device ?,16.00,17.69,1781444304197941500,1781444304198889650,0.948,1
11246790623665690,11246790624401040,Host(NUMA 5),Device ?,12.00,17.11,1781444304199115030,1781444304199850380,0.735,1
11246790622605940,11246790623569340,Host(NUMA 7),Device ?,16.00,17.41,1781444304198141670,1781444304199105070,0.963,1
11246790623612840,11246790624623720,Host(NUMA 7),Device ?,16.00,16.60,1781444304199173870,1781444304200184750,1.011,1
11246790624209900,11246790624524680,Host(NUMA 6),Device ?,4.00,13.32,1781444304199254500,1781444304199569280,0.315,1
11246790624443950,11246790624695400,Host(NUMA 5),Device ?,4.00,16.68,1781444304199771580,1781444304200023030,0.251,1
11246790624667390,11246790625439410,Host(NUMA 7),Device ?,12.00,16.30,1781444304199740710,1781444304200512730,0.772,1
11246790624565810,11246790625558160,Host(NUMA 6),Device ?,16.00,16.91,1781444304199812560,1781444304200804910,0.992,1
11246790624735020,11246790625856600,Host(NUMA 5),Device ?,16.00,14.96,1781444304199963410,1781444304201084990,1.122,1
11246790625482440,11246790625811410,Host(NUMA 7),Device ?,4.00,12.75,1781444304200931370,1781444304201260340,0.329,1
11246790625604370,11246790626587300,Host(NUMA 6),Device ?,16.00,17.07,1781444304200687710,1781444304201670640,0.983,1
11246790625900180,11246790626766870,Host(NUMA 5),Device ?,16.00,19.36,1781444304201099260,1781444304201965950,0.867,1
11246790626810610,11246790627424320,Host(NUMA 5),Device ?,12.00,20.50,1781444304202088950,1781444304202702660,0.614,1
11246790626636320,11246790627355370,Host(NUMA 6),Device ?,12.00,17.50,1781444304201700060,1781444304202419110,0.719,1
11246790625851050,11246790626830300,Host(NUMA 7),Device ?,16.00,17.13,1781444304201159560,1781444304202138810,0.979,1
11246790627465900,11246790627746430,Host(NUMA 5),Device ?,4.00,14.95,1781444304202599210,1781444304202879740,0.281,1
11246790626874770,11246790627791520,Host(NUMA 7),Device ?,16.00,18.30,1781444304202427800,1781444304203344550,0.917,1
11246790627834420,11246790628581880,Host(NUMA 7),Device ?,12.00,16.83,1781444304203063970,1781444304203811430,0.747,1
11246790627784350,11246790628550560,Host(NUMA 5),Device ?,16.00,21.90,1781444304202857130,1781444304203623340,0.766,1
11246790627398520,11246790627741820,Host(NUMA 6),Device ?,4.00,12.22,1781444304202828890,1781444304203172190,0.343,1
11246790628621420,11246790628895420,Host(NUMA 7),Device ?,4.00,15.31,1781444304203700980,1781444304203974980,0.274,1
11246790628594730,11246790629356000,Host(NUMA 5),Device ?,16.00,22.04,1781444304203675080,1781444304204436350,0.761,1
11246790629402830,11246790630072170,Host(NUMA 5),Device ?,12.00,18.80,1781444304204642240,1781444304205311580,0.669,1
11246790627785220,11246790629487380,Host(NUMA 6),Device ?,16.00,9.86,1781444304203030400,1781444304204732560,1.702,1
11246790628936100,11246790629786140,Host(NUMA 7),Device ?,16.00,19.74,1781444304204173510,1781444304205023550,0.850,1
11246790629543880,11246790630550410,Host(NUMA 6),Device ?,16.00,16.67,1781444304204766060,1781444304205772590,1.007,1
11246790630112410,11246790630544190,Host(NUMA 5),Device ?,4.00,9.71,1781444304205165590,1781444304205597370,0.432,1
11246790629826640,11246790630784340,Host(NUMA 7),Device ?,16.00,17.52,1781444304205098070,1781444304206055770,0.958,1
11246790630824010,11246790631507890,Host(NUMA 7),Device ?,12.00,18.40,1781444304206118470,1781444304206802350,0.684,1
11246790630582870,11246790631336930,Host(NUMA 5),Device ?,16.00,22.25,1781444304205869350,1781444304206623410,0.754,1
11246790630602530,11246790631297460,Host(NUMA 6),Device ?,12.00,18.11,1781444304205646070,1781444304206341000,0.695,1
11246790631340740,11246790631670630,Host(NUMA 6),Device ?,4.00,12.71,1781444304207134160,1781444304207464050,0.330,1
11246790631545610,11246790631821710,Host(NUMA 7),Device ?,4.00,15.19,1781444304206722390,1781444304206998490,0.276,1
11246790631381630,11246790632148260,Host(NUMA 5),Device ?,16.00,21.88,1781444304206519330,1781444304207285960,0.767,1
11246790632191890,11246790632837830,Host(NUMA 5),Device ?,12.00,19.48,1781444304207699680,1781444304208345620,0.646,1
11246790631712550,11246790632822180,Host(NUMA 6),Device ?,16.00,15.12,1781444304206782690,1781444304207892320,1.110,1
11246790631858590,11246790632813470,Host(NUMA 7),Device ?,16.00,17.57,1781444304207114270,1781444304208069150,0.955,1
11246790632880420,11246790633137210,Host(NUMA 5),Device ?,4.00,16.33,1781444304208260550,1781444304208517340,0.257,1
11246790632871680,11246790633924250,Host(NUMA 6),Device ?,16.00,15.94,1781444304207925090,1781444304208977660,1.053,1
11246790632858740,11246790633898230,Host(NUMA 7),Device ?,16.00,16.14,1781444304208137030,1781444304209176520,1.039,1
11246790633940760,11246790634577270,Host(NUMA 7),Device ?,12.00,19.77,1781444304209285310,1781444304209921820,0.637,1
11246790633174390,11246790633936370,Host(NUMA 5),Device ?,16.00,22.02,1781444304208693210,1781444304209455190,0.762,1
11246790633979480,11246790634739990,Host(NUMA 5),Device ?,16.00,22.06,1781444304209590740,1781444304210351250,0.761,1
11246790634784540,11246790635355350,Host(NUMA 5),Device ?,12.00,22.04,1781444304209956250,1781444304210527060,0.571,1
11246790633972170,11246790634646590,Host(NUMA 6),Device ?,12.00,18.66,1781444304209074230,1781444304209748650,0.674,1
11246790634622260,11246790634944200,Host(NUMA 7),Device ?,4.00,13.03,1781444304209757990,1781444304210079930,0.322,1
11246790635396400,11246790635659640,Host(NUMA 5),Device ?,4.00,15.93,1781444304210426230,1781444304210689470,0.263,1
11246790634982200,11246790635943120,Host(NUMA 7),Device ?,16.00,17.46,1781444304210066620,1781444304211027540,0.961,1
11246790635983710,11246790636800320,Host(NUMA 7),Device ?,16.00,20.54,1781444304211215330,1781444304212031940,0.817,1
11246790635698380,11246790636654980,Host(NUMA 5),Device ?,16.00,17.54,1781444304210780560,1781444304211737160,0.957,1
11246790634686980,11246790635304240,Host(NUMA 6),Device ?,4.00,6.80,1781444304210233170,1781444304210850430,0.617,1
