timestamp,path_id,bandwidth_gbps,is_degraded
1781253790.123,35121,7.20,1
1781253790.132,35121,16.70,0
1781253790.145,35121,11.50,1
1781253790.154,35121,19.70,0
1781253790.165,35121,13.10,1
1781253790.177,35121,13.40,1
1781253790.192,35121,10.10,1
1781253790.200,35121,19.90,0
1781253790.217,35121,8.80,1
1781253792.280,20176,13.20,1
1781253792.288,20176,18.80,0
1781253793.321,20176,12.30,1
1781253796.417,20176,8.30,1
1781253796.427,20176,16.30,0
1781253796.438,20176,13.70,1
1781253796.448,20176,16.40,0
1781253796.458,20176,15.50,0
1781253796.473,20176,9.60,1
1781253797.508,35121,7.50,1
1781253797.517,35121,18.70,0
1781253798.551,35121,13.80,1
1781253798.567,35121,20.20,0
1781253798.579,35121,13.20,1
1781253798.587,35121,19.30,0
1781253798.600,35121,11.80,1
1781253799.622,35121,12.30,1
1781253799.637,35121,10.00,1
1781253799.647,35121,15.50,0
1781253799.660,35121,11.40,1
1781253799.669,35121,17.40,0
1781253799.680,35121,14.60,0
1781253799.690,35121,16.10,0
1781253801.748,35121,16.30,0
1781253801.758,35121,16.60,0
1781253801.769,35121,14.20,0
1781253801.780,35121,13.40,1
1781253801.792,35121,12.90,1
1781253801.800,35121,19.40,0
1781253801.813,35121,11.90,1
1781253801.821,35121,19.20,0
1781253801.842,35121,7.00,1
1781253802.868,35121,8.60,1
1781253802.881,35121,12.50,1
1781253802.897,35121,8.80,1
1781253802.906,35121,18.50,0
1781253802.927,35121,7.00,1
1781253802.946,35121,7.50,1
1781253802.969,35121,6.50,1
1781253802.991,35121,6.30,1
1781253803.002,35121,13.90,1
1781253803.021,35121,8.00,1
1781253808.150,35121,13.50,1
1781253808.171,35121,7.00,1
1781253808.180,35121,17.00,0
1781253808.192,35121,12.80,1
1781253808.201,35121,17.50,0
1781253808.212,35121,14.40,0
1781253808.221,35121,17.50,0
1781253808.238,35121,8.40,1
1781253808.247,35121,19.20,0
1781253809.276,35121,7.50,1
1781253810.320,35121,16.60,0
1781253810.333,35121,11.70,1
1781253810.344,35121,13.80,1
1781253810.353,35121,18.20,0
1781253810.365,35121,12.60,1
1781253813.448,20176,16.60,0
1781253813.459,20176,14.00,1
1781253813.467,20176,18.30,0
1781253813.483,20176,9.50,1
1781253813.494,20176,13.80,1
1781253813.512,20176,8.10,1
1781253813.521,20176,19.00,0
1781253814.538,35121,20.50,0
