PID,TID,Source,Destination,Size_MB,Latency_us,Bandwidth_GBps,Start_ns,End_ns,WallStart_ns,WallEnd_ns
2730429,2730429,Host(NUMA 4),NPU 0,129.50,8424.16,16.12,11427500931782950,11427500940207110,1781625014506876970,1781625014515301130
2730429,2730429,Host(NUMA 4),NPU 0,0.01,44.09,0.16,11427500960979410,11427500961023500,1781625014536092100,1781625014536136190
2730429,2730429,Host(NUMA 4),NPU 0,0.01,32.39,0.22,11427500961127820,11427500961160210,1781625014536273330,1781625014536305720
2730429,2730429,Host(NUMA 4),NPU 0,31.50,2164.83,15.26,11427500961343330,11427500963508160,1781625014536447270,1781625014538612100
2730429,2730429,Host(NUMA 4),NPU 0,0.01,38.08,0.24,11427500968767760,11427500968805840,1781625014543857440,1781625014543895520
2730429,2730429,Host(NUMA 4),NPU 0,24.50,27310.93,0.94,11427500968983010,11427500996293940,1781625014544100380,1781625014571411310
2730429,2730429,Host(NUMA 4),NPU 0,259.00,288973.69,0.94,11427500996929720,11427501285903410,1781625014572035950,1781625014861009640
2730429,2730429,Host(NUMA 4),NPU 0,129.50,142381.13,0.95,11427501315109620,11427501457490750,1781625014890249240,1781625015032630370
2730429,2730429,Host(NUMA 4),NPU 0,0.01,64.47,0.11,11427501474031590,11427501474096060,1781625015049127220,1781625015049191690
2730429,2730429,Host(NUMA 4),NPU 0,0.01,34.40,0.21,11427501474205870,11427501474240270,1781625015049340440,1781625015049374840
2730429,2730429,Host(NUMA 4),NPU 0,0.01,27.48,0.26,11427501474337260,11427501474364740,1781625015049499250,1781625015049526730
2730429,2730429,Host(NUMA 4),NPU 0,0.01,65.61,0.12,11427503666400840,11427503666466450,1781625017241751720,1781625017241817330
2730429,2730429,Host(NUMA 4),NPU 0,0.00,32.92,0.12,11427503666797470,11427503666830390,1781625017241986770,1781625017242019690
2730429,2730429,Host(NUMA 4),NPU 0,0.00,26.96,0.15,11427503667070670,11427503667097630,1781625017242158160,1781625017242185120
2730429,2730429,Host(NUMA 4),NPU 0,0.03,901.07,0.04,11427505359794920,11427505360695990,1781625018935273890,1781625018936174960
