nohup: ignoring input
============================================================
FlowGap Online Probe Loop
  Trace log:  ../data/collected/pass2_raw.log
  Policy:     flowgap_predictive
  Budget:     2 probes/s
  Dry run:    False
  Once mode:  False
============================================================

Opening probe executor (AscendCL)...
  OK — executor ready

Waiting for trace file: ../data/collected/pass2_raw.log
  [LAT] Path 51468: 112.5µs (0.0GB/s)
  [LAT] Path 51468: 77.5µs (0.1GB/s)
  [LAT] Path 61891: 109.9µs (0.0GB/s)
  [BW] Path 61891: 6470.0µs (20.7GB/s)
  [BW] Path 39006: 6510.6µs (20.6GB/s)
  [LAT] Path 39006: 76.3µs (0.1GB/s)
  [LAT] Path 51468: 111.9µs (0.0GB/s)
  [BW] Path 51468: 8417.0µs (15.9GB/s)
  [BW] Path 51468: 6996.2µs (19.2GB/s)
  [BW] Path 51468: 6497.9µs (20.7GB/s)
  [LAT] Path 39006: 160.7µs (0.0GB/s)
  [LAT] Path 39006: 79.9µs (0.1GB/s)
  [LAT] Path 58584: 153.9µs (0.0GB/s)
  [LAT] Path 58584: 68.0µs (0.1GB/s)
  [LAT] Path 58584: 149.7µs (0.0GB/s)
  [LAT] Path 58584: 77.1µs (0.1GB/s)
  [LAT] Path 58584: 151.3µs (0.0GB/s)
  [LAT] Path 58584: 70.0µs (0.1GB/s)
  [BW] Path 51468: 6534.1µs (20.5GB/s)
  [LAT] Path 51468: 76.8µs (0.1GB/s)
  [LAT] Path 51468: 147.1µs (0.0GB/s)
  [LAT] Path 51468: 69.8µs (0.1GB/s)
  [LAT] Path 18787: 165.0µs (0.0GB/s)
  [LAT] Path 18787: 81.6µs (0.1GB/s)
  [LAT] Path 39006: 113.1µs (0.0GB/s)
  [LAT] Path 39006: 77.9µs (0.1GB/s)
  [LAT] Path 39006: 145.9µs (0.0GB/s)
  [LAT] Path 39006: 68.8µs (0.1GB/s)
  [BW] Path 28801: 6550.5µs (20.5GB/s)
  [LAT] Path 28801: 73.9µs (0.1GB/s)
  [LAT] Path 33139: 151.5µs (0.0GB/s)
  [LAT] Path 33139: 67.3µs (0.1GB/s)
  [LAT] Path 24721: 153.8µs (0.0GB/s)
  [BW] Path 24721: 6486.4µs (20.7GB/s)
  [LAT] Path 24721: 158.7µs (0.0GB/s)
  [LAT] Path 24721: 88.6µs (0.1GB/s)
  [LAT] Path 39006: 140.5µs (0.0GB/s)
  [LAT] Path 39006: 367.0µs (0.0GB/s)
  [LAT] Path 39006: 108.6µs (0.0GB/s)
  [LAT] Path 39006: 73.3µs (0.1GB/s)
  [LAT] Path 39006: 120.5µs (0.0GB/s)
  [LAT] Path 39006: 74.5µs (0.1GB/s)
  [BW] Path 28801: 6505.0µs (20.6GB/s)
  [LAT] Path 28801: 115.0µs (0.0GB/s)
  [LAT] Path 33139: 123.8µs (0.0GB/s)
  [BW] Path 33139: 6481.4µs (20.7GB/s)
  [BW] Path 58584: 6514.7µs (20.6GB/s)
  [BW] Path 58584: 6582.5µs (20.4GB/s)
  [BW] Path 58584: 9051.6µs (14.8GB/s)
  [BW] Path 58584: 6534.2µs (20.5GB/s)
  [BW] Path 28801: 6652.1µs (20.2GB/s)
  [BW] Path 28801: 6624.2µs (20.3GB/s)
  [LAT] Path 51468: 149.3µs (0.0GB/s)
  [LAT] Path 51468: 68.9µs (0.1GB/s)
  [LAT] Path 51468: 155.9µs (0.0GB/s)
  [LAT] Path 51468: 90.9µs (0.1GB/s)
  [LAT] Path 58584: 153.0µs (0.0GB/s)
  [BW] Path 58584: 6475.0µs (20.7GB/s)
  [LAT] Path 58584: 31.9µs (0.1GB/s)
  [LAT] Path 58584: 67.0µs (0.1GB/s)
  [LAT] Path 38170: 186.8µs (0.0GB/s)
  [LAT] Path 38170: 117.7µs (0.0GB/s)
  [LAT] Path 38170: 104.3µs (0.0GB/s)
  [LAT] Path 38170: 71.6µs (0.1GB/s)
  [LAT] Path 33139: 126.3µs (0.0GB/s)
  [LAT] Path 33139: 77.9µs (0.1GB/s)
  [LAT] Path 24721: 423.5µs (0.0GB/s)
  [LAT] Path 24721: 112.4µs (0.0GB/s)
  [LAT] Path 24721: 155.8µs (0.0GB/s)
  [LAT] Path 24721: 80.7µs (0.1GB/s)
  [LAT] Path 39006: 185.6µs (0.0GB/s)
  [LAT] Path 39006: 72.9µs (0.1GB/s)
  [LAT] Path 39006: 186.6µs (0.0GB/s)
  [BW] Path 39006: 8519.5µs (15.8GB/s)
  [BW] Path 39006: 7066.9µs (19.0GB/s)
  [BW] Path 39006: 9327.0µs (14.4GB/s)
  [LAT] Path 51468: 330.8µs (0.0GB/s)
  [BW] Path 51468: 6494.3µs (20.7GB/s)
  [LAT] Path 38170: 34.9µs (0.1GB/s)
  [LAT] Path 38170: 96.3µs (0.0GB/s)
  [BW] Path 28801: 8844.1µs (15.2GB/s)
  [BW] Path 28801: 6556.6µs (20.5GB/s)
  [BW] Path 39006: 6520.5µs (20.6GB/s)
  [BW] Path 39006: 6474.9µs (20.7GB/s)
  [LAT] Path 28801: 160.7µs (0.0GB/s)
  [LAT] Path 28801: 69.1µs (0.1GB/s)
  [LAT] Path 58584: 160.5µs (0.0GB/s)
  [LAT] Path 58584: 69.2µs (0.1GB/s)
