index,path_id,bandwidth_gbps,is_degraded
799,35431,19.90,0
800,10145,20.40,0
801,10145,20.10,0
802,10145,20.30,0
803,10145,19.90,0
804,10145,20.50,0
805,16080,19.30,0
806,16080,19.60,0
807,56659,20.80,0
808,56659,15.30,0
809,56659,16.80,0
810,56659,20.10,0
811,56659,19.60,0
812,65441,20.40,0
813,65441,20.10,0
814,35431,19.90,0
815,35431,20.10,0
816,16080,15.70,0
817,16080,14.60,0
818,10145,19.70,0
819,10145,20.10,0
820,35431,20.40,0
821,35431,20.20,0
822,31572,20.30,0
823,31572,13.60,0
824,56659,20.30,0
825,56659,13.50,0
826,10145,20.40,0
827,10145,19.90,0
828,31572,20.20,0
829,31572,19.90,0
830,10145,20.00,0
831,10145,20.40,0
832,56659,20.60,0
833,56659,14.90,0
834,35431,20.30,0
835,35431,20.60,0
836,65441,20.30,0
837,65441,20.10,0
838,36012,20.50,0
839,36012,20.10,0
840,35431,14.00,0
841,35431,15.20,0
842,65441,15.30,0
843,65441,13.10,0
844,35431,20.50,0
845,35431,20.10,0
846,31572,17.30,0
847,31572,19.50,0
848,35431,19.80,0
849,35431,19.40,0
850,10145,20.60,0
851,10145,15.00,0
852,35431,20.40,0
853,36012,20.00,0
854,36012,20.10,0
855,36012,20.20,0
856,36012,18.90,0
857,10145,20.10,0
858,10145,20.00,0
859,10145,20.20,0
860,56659,20.50,0
861,56659,20.10,0
862,16080,20.30,0
863,31572,20.60,0
864,31572,19.90,0
865,56659,17.80,0
866,56659,20.10,0
867,65441,20.60,0
868,65441,20.30,0
869,65441,20.20,0
870,65441,20.10,0
871,35431,20.50,0
872,35431,20.50,0
873,36661,20.70,0
874,36012,18.60,0
875,31572,20.60,0
876,31572,15.50,0
877,56659,20.60,0
878,56659,20.50,0
879,65441,20.40,0
880,65441,20.40,0
881,65441,19.60,0
882,65441,17.60,0
883,35431,20.40,0
884,35431,15.70,0
885,36661,20.00,0
886,36661,19.30,0
887,56659,18.90,0
888,56659,14.10,0
889,65441,20.60,0
890,65441,20.10,0
891,36661,18.10,0
892,36661,18.40,0
893,36661,19.60,0
894,36661,19.40,0
895,16080,20.40,0
896,16080,20.20,0
897,36661,20.60,0
898,36661,18.00,0
899,36661,20.50,0
900,35431,20.50,0
901,35431,19.90,0
902,35431,20.30,0
